sno,item_id,dish_name,image,cat_name,URL1,URL2,URL3,copyright
137,f664620c4ecd68b33f9b2d7800e2b266_0222d53d72dc8564969840e0b8175e3b,Iced lemon coke,0,Soda and Floats,https://get.pxhere.com/photo/sweet-glass-summer-coke-splash-lemonade-drink-delicious-lemon-cocktail-coca-cola-refreshment-cola-frisch-soft-drink-ice-cubes-erfrischungsgetr-nk-cocktail-garnish-cuba-libre-1376960.jpg,https://live.staticflickr.com/3023/2913895886_702b72f76f_z.jpg,https://c1.wallpaperflare.com/preview/312/533/260/coca-cola-cola-coke-brand.jpg,0
138,f664620c4ecd68b33f9b2d7800e2b266_1a5e06a4081a32f3a887f209fc060c79,Iced coke float,0,Soda and Floats,https://upload.wikimedia.org/wikipedia/commons/a/a8/Coke_float.jpg,https://c0.wallpaperflare.com/preview/814/366/495/beverage-carbonated-drink-coca-cola-cola.jpg,https://live.staticflickr.com/2239/2288231043_9074c210df_b.jpg,0
139,f664620c4ecd68b33f9b2d7800e2b266_79ad3dc2de85c607d1acf1a163e12a32,Ice root beer float,0,Soda and Floats,https://storage.needpix.com/rsynced_images/root-beer-float.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e2/Root_Beer_Float.jpg,https://live.staticflickr.com/8334/8120996413_a17413c20f_c.jpg,0
140,f664620c4ecd68b33f9b2d7800e2b266_7178f6d986486fecd00a1b6676e05e0f,Iced lemon blueberry,0,Soda and Floats,https://get.pxhere.com/photo/plant-fruit-berry-ice-food-produce-beverage-drink-cocktail-martini-straws-blueberries-straw-fruits-drinks-liqueur-flowering-plant-alcoholic-beverage-drinking-glasses-distilled-beverage-995665.jpg,https://p1.pxfuel.com/preview/886/591/697/lemon-mint-drink-fresh-cold-refreshment.jpg,https://p0.pxfuel.com/preview/952/152/57/cocktail-beverage-lemon-ice.jpg,0
141,f664620c4ecd68b33f9b2d7800e2b266_7b476ab69e5b04d71605e888d424f73c,Iced lemon laychee,0,Soda and Floats,https://p1.pxfuel.com/preview/763/864/903/beverages-cold-drink-fresh-ice-lychee.jpg,https://upload.wikimedia.org/wikipedia/commons/1/1a/Lychee_sorbet_black_tea.jpg,https://p1.pxfuel.com/preview/790/351/581/transparent-color-ice-lemon-refreshment-royalty-free-thumbnail.jpg,0
142,f664620c4ecd68b33f9b2d7800e2b266_5865ad4e456804d38711849eeec146b1,Iced lemon blue lagoon,0,Soda and Floats,https://upload.wikimedia.org/wikipedia/commons/5/54/Adios_Motherfucker_Cocktail.jpg,https://c1.wallpaperflare.com/preview/482/852/994/lemonade-lemon-ade-blue-lemon-ade-blue-lemonade.jpg,https://p0.pxfuel.com/preview/952/152/57/cocktail-beverage-lemon-ice.jpg,0
143,f664620c4ecd68b33f9b2d7800e2b266_5d2e181b7a7ba795e4c256b3e1d7654c,Coffee caramel frappe,0,Ice Blended and Shakes,https://c0.wallpaperflare.com/preview/420/792/980/caramel-coffee-cream-creamy.jpg,https://live.staticflickr.com/7273/7458352668_0d5a6931f2_b.jpg,https://c1.wallpaperflare.com/preview/172/68/848/coffee-cream-straw-frappuccino.jpg,0
144,f664620c4ecd68b33f9b2d7800e2b266_21bad61bc3840b463d128d705c194218,Coffee ice cream frappe,0,Ice Blended and Shakes,https://c1.wallpaperflare.com/preview/95/401/65/iced-coffee-ice-ice-cream-cream.jpg,https://cdn.pixabay.com/photo/2017/05/11/19/49/iced-coffee-2305203_960_720.jpg,https://c1.wallpaperflare.com/preview/172/68/848/coffee-cream-straw-frappuccino.jpg,0
145,f664620c4ecd68b33f9b2d7800e2b266_687afebc205c0920b116041af29c5a89,cappucinno  frappe,0,Ice Blended and Shakes,https://get.pxhere.com/photo/table-coffee-blur-glass-cup-cappuccino-decoration-meal-food-saucer-drink-chocolate-milk-dessert-cream-delicious-still-life-dairy-product-close-up-wooden-table-indoors-focus-traditional-flavor-flower-vase-frappe-951371.jpg,https://cdn.pixabay.com/photo/2018/12/03/21/40/cappuccino-3854326_960_720.jpg,https://c1.wallpaperflare.com/preview/255/386/525/latte-art-coffee-latte-flatwhite.jpg,0
146,f664620c4ecd68b33f9b2d7800e2b266_86a00ed16141d8929d1bced5c3c25dcf,mocha cola frappe,0,Ice Blended and Shakes,https://c1.wallpaperflare.com/preview/299/127/632/coffee-milkshake-drink-food.jpg,https://c1.wallpaperflare.com/preview/95/401/65/iced-coffee-ice-ice-cream-cream.jpg,https://c0.wallpaperflare.com/preview/590/251/603/cola-beverage-brand-can.jpg,0
147,f664620c4ecd68b33f9b2d7800e2b266_6234930667d79cdbcfdd90118d824b69,mocha frappe,0,Ice Blended and Shakes,https://live.staticflickr.com/1209/5116545544_1879f689f0_b.jpg,https://c1.wallpaperflare.com/preview/299/127/632/coffee-milkshake-drink-food.jpg,https://live.staticflickr.com/7547/15895559425_4622a0efca_z.jpg,0
148,f664620c4ecd68b33f9b2d7800e2b266_81fbf1f7d30af8d62337813ed0a61a03,yam coffee frappe,0,Ice Blended and Shakes,https://cdn.pixabay.com/photo/2017/05/11/19/52/iced-coffee-2305211_960_720.jpg,https://live.staticflickr.com/65535/48876464182_f9df54a924_b.jpg,https://upload.wikimedia.org/wikipedia/commons/5/53/Dalgona_coffee.jpg,0
149,f664620c4ecd68b33f9b2d7800e2b266_e0059a8e430d0db8498bd1d3e33a5f0a,Ice blended lemon blue lagoon,0,Ice Blended and Shakes,https://c1.wallpaperflare.com/preview/172/799/602/cocktails-colorful-drink-beverage.jpg,https://c0.wallpaperflare.com/preview/353/810/397/alcohol-beverage-black-background-blue.jpg,https://p1.pxfuel.com/preview/636/1015/763/cocktail-tropical-beverage-drink.jpg,0
150,f664620c4ecd68b33f9b2d7800e2b266_9f1583dcba6d6b0fad68e1101d0d446b,Ice blended lemon blueberry,0,Ice Blended and Shakes,https://c0.wallpaperflare.com/preview/140/432/48/antioxidant-beverage-blended-blueberries.jpg,https://c0.wallpaperflare.com/preview/711/542/565/blended-blueberries-cold-detox.jpg,https://get.pxhere.com/photo/antioxidant-beverage-blended-blueberries-blueberry-closeup-cold-detox-detoxifying-drink-drinking-food-photography-frappe-fresh-freshness-fruit-fruity-glass-gourmet-health-healthcare-healthy-homemade-juice-liquid-macro-mint-mixed-berry-natural-nutrients-nutrition-nutritious-organic-purple-raspberry-recipe-red-refreshing-refreshment-smoothie-strawberry-summer-summer-recipe-sweet-tasty-vitamin-wellbeing-wellness-yummy-superfood-non-alcoholic-beverage-berry-frozen-dessert-health-shake-milkshake-frutti-di-bosco-strawberry-juice-batida-1438951.jpg,0
151,f664620c4ecd68b33f9b2d7800e2b266_3f0ed22f4ba574fc21d7c6f7bff1268a,Vitmo snow ice,0,Cooling Smoothies,https://i.vimeocdn.com/filter/overlay?src0=https%3A%2F%2Fi.vimeocdn.com%2Fvideo%2F458916500_1280x720.jpg&src1=https%3A%2F%2Ff.vimeocdn.com%2Fimages_v6%2Fshare%2Fplay_icon_overlay.png,https://i.vimeocdn.com/filter/overlay?src0=https%3A%2F%2Fi.vimeocdn.com%2Fvideo%2F781529728_1280x720.jpg&src1=https%3A%2F%2Ff.vimeocdn.com%2Fimages_v6%2Fshare%2Fplay_icon_overlay.png,https://i.vimeocdn.com/filter/overlay?src0=https%3A%2F%2Fi.vimeocdn.com%2Fvideo%2F41126254_1280x960.jpg&src1=https%3A%2F%2Ff.vimeocdn.com%2Fimages_v6%2Fshare%2Fplay_icon_overlay.png,0
152,f664620c4ecd68b33f9b2d7800e2b266_fd485474dece68d24686ae8c64abd8f8,Lemon snow ice,0,Cooling Smoothies,https://cdn.pixabay.com/photo/2020/01/24/18/50/lemon-4791010_960_720.jpg,https://storage.needpix.com/rsynced_images/ice-2669673_1280.jpg,https://cdn.pixabay.com/photo/2016/03/08/20/01/ice-1244640_960_720.jpg,0
153,f664620c4ecd68b33f9b2d7800e2b266_59c80833be13b8cd3ff2ad144ae0356b,Laychee snow ice,0,Cooling Smoothies,https://upload.wikimedia.org/wikipedia/commons/d/db/Hilo_Ice_Shave.JPG,https://upload.wikimedia.org/wikipedia/commons/4/40/Lychee%2C_mango%2C_macapuno_coconut_string%2C_nata_de_coco%2C_jackfruit.jpg,https://www.maxpixel.net/static/photo/1x/Snow-Lamp-Frozen-Frost-Winter-Icicle-Storm-Ice-1444197.jpg,0
154,f664620c4ecd68b33f9b2d7800e2b266_b5b3c39b329bf9e13753c7fcee378ae2,Fresh laban,0,Cooling Smoothies,https://live.staticflickr.com/685/23277833103_c25be76260_b.jpg,https://live.staticflickr.com/3709/10501475244_bb91712ffd_z.jpg,https://upload.wikimedia.org/wikipedia/commons/3/3e/Allen%27s_strawberry_catalogue_for_1900_%2816544722386%29.jpg,0
155,f664620c4ecd68b33f9b2d7800e2b266_518091877133f1b85b842e8dc74b2246,Orange ,0,Fresh Juice,https://upload.wikimedia.org/wikipedia/commons/7/7b/Orange-Whole-%26-Split.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c4/Orange-Fruit-Pieces.jpg,https://images.pexels.com/photos/42059/citrus-diet-food-fresh-42059.jpeg?cs=srgb&dl=food-healthy-orange-white-42059.jpg&fm=jpg,0
156,f664620c4ecd68b33f9b2d7800e2b266_7e4311eb52e12660aa07e9c1b3dcc030,Apple ,0,Fresh Juice,https://upload.wikimedia.org/wikipedia/commons/f/fa/Apple_logo_black.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Apple_Logo.svg/860px-Apple_Logo.svg.png,https://storage.needpix.com/rsynced_images/apple-icon-4017545_1280.png,0
157,f664620c4ecd68b33f9b2d7800e2b266_d1635d11cb6e451b9527e4f07248b1e2,Carrot,0,Fresh Juice,https://upload.wikimedia.org/wikipedia/commons/a/a2/Vegetable-Carrot-Bundle-wStalks.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Vegetable-Carrot-Bundle-wStalks.jpg/1280px-Vegetable-Carrot-Bundle-wStalks.jpg,https://live.staticflickr.com/4581/37578400725_e5e8f5156d_b.jpg,0
158,f664620c4ecd68b33f9b2d7800e2b266_ca647861baed50f2e7c9837b0773ef58,Watermelon,0,Fresh Juice,https://live.staticflickr.com/5012/5427691534_4c0420cdc9_b.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Watermelons.jpg/800px-Watermelons.jpg,https://images.pexels.com/photos/1313267/pexels-photo-1313267.jpeg?cs=srgb&dl=watermelon-fruit-1313267.jpg&fm=jpg,0
159,f664620c4ecd68b33f9b2d7800e2b266_c755b3612ef79829a1a3e0c05d5a8488,Honeydew,0,Fresh Juice,https://storage.needpix.com/rsynced_images/honeydew-2494765_1280.png,https://upload.wikimedia.org/wikipedia/commons/d/d4/Honeydew.Melon.2.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Honeydew.jpg/800px-Honeydew.jpg,0
160,f664620c4ecd68b33f9b2d7800e2b266_e2ddd09f4c2c6c2a6e32c20f6420dc4e,Kiwi ,0,Fresh Juice,https://upload.wikimedia.org/wikipedia/commons/d/d3/Kiwi_aka.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b8/Kiwi_%28Actinidia_chinensis%29_1_Luc_Viatour.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Kiwi_%28Actinidia_chinensis%29_1_Luc_Viatour.jpg/1280px-Kiwi_%28Actinidia_chinensis%29_1_Luc_Viatour.jpg,0
161,f664620c4ecd68b33f9b2d7800e2b266_e0868ebf2cbe6c773c5d71a33d337196,Avocado,0,Fresh Juice,https://upload.wikimedia.org/wikipedia/commons/c/c0/Avocado-board.jpg,https://images.pexels.com/photos/557659/pexels-photo-557659.jpeg?cs=srgb&dl=avocado-close-up-colors-cut-557659.jpg&fm=jpg,https://upload.wikimedia.org/wikipedia/commons/5/50/Avocado_open.jpg,0
162,f664620c4ecd68b33f9b2d7800e2b266_98b010acdc4cd6573cdf896488f54330,Banana milk ,0,Fresh Juice,https://upload.wikimedia.org/wikipedia/commons/e/e7/Bananamilk.jpg,https://upload.wikimedia.org/wikipedia/commons/b/bb/Binggrae_Banana_Flavored_Milk_03.jpg,https://live.staticflickr.com/65535/49226511741_c0d951cc3d_b.jpg,0
163,f664620c4ecd68b33f9b2d7800e2b266_007d60cec60f6494bfd67305905c8fb4,Mango,0,Fresh Juice,https://upload.wikimedia.org/wikipedia/commons/f/fb/Carabao_mangoes_%28Philippines%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Carabao_mangoes_%28Philippines%29.jpg/1119px-Carabao_mangoes_%28Philippines%29.jpg,https://upload.wikimedia.org/wikipedia/en/3/3a/Mutant_Mango_Fruit_%282%29.JPG,0
164,f664620c4ecd68b33f9b2d7800e2b266_b5cb0644893bbb7baec1a6bca90b656a,Strawberry,0,Fresh Juice,https://upload.wikimedia.org/wikipedia/commons/e/e1/Strawberries.jpg,https://images.pexels.com/photos/934066/pexels-photo-934066.jpeg?cs=srgb&dl=macro-photography-of-strawberry-934066.jpg&fm=jpg,https://upload.wikimedia.org/wikipedia/commons/c/c4/Strawberry_fruit.jpg,0
165,f664620c4ecd68b33f9b2d7800e2b266_43c489c42cf5346cabceb4f61c66cd76,Balqis cocktail,0,Fresh Juice,https://live.staticflickr.com/5299/5452816073_9c36dd875f_b.jpg,https://upload.wikimedia.org/wikipedia/commons/0/06/Brandywine_Tomato_Plant.JPG,0,
166,f664620c4ecd68b33f9b2d7800e2b266_d88f57861dbd3278be3dbe96d572fe9d,Mojito,0,Fresh Juice,https://live.staticflickr.com/4147/5084101811_9f84644414_b.jpg,https://c0.wallpaperflare.com/preview/251/271/743/mojito-rum-cocktail-bar.jpg,https://upload.wikimedia.org/wikipedia/commons/b/bd/Mojito-party.jpg,0
167,f664620c4ecd68b33f9b2d7800e2b266_f7c61d62c4cfe59cae34be7ecde41fc9,Dragon fruit,0,Fresh Juice,https://upload.wikimedia.org/wikipedia/commons/4/43/Pitaya_cross_section_ed2.jpg,https://upload.wikimedia.org/wikipedia/commons/b/ba/Dragon_Fruit.jpg,https://live.staticflickr.com/4303/36038497775_8b38bb3a21_b.jpg,0
178,f664620c4ecd68b33f9b2d7800e2b266_622dac7567455e74393cc886b2dea42c,Arayesi,0,Desserts,https://lookaside.fbsbx.com/lookaside/crawler/media/?media_id=2143279019072933,https://i1.wp.com/www.arabianluxuries.com/wp-content/uploads/2019/12/arayesi-min.png?fit=550%2C416&ssl=1,http://s3.amazonaws.com/sheba-yemeni-food/app/public/images/1/bint-al-sahn.png?1453150117,1